,expected,within,between,unexpected,constraint
0,0.777791,0.7896579,0.78207123,0.7680159,H
1,0.7926002,0.8060676,0.79520607,0.77161807,H
2,0.81219816,0.79948664,0.80928916,0.76387036,H
3,0.7595804,0.7567629,0.7433795,0.7584241,H
4,0.8106557,0.7998043,0.79053366,0.7746585,L
5,0.7770506,0.7877015,0.7734218,0.7590145,L
6,0.77436495,0.7768519,0.762146,0.772781,L
7,0.78297645,0.77732396,0.7884012,0.7703722,L
8,0.7867406,0.7959892,0.78052235,0.7671788,L
9,0.7768597,0.75910646,0.75041604,0.75762993,H
10,0.7696556,0.78318286,0.78707576,0.7561214,H
11,0.7625881,0.7620124,0.773086,0.7666034,H
12,0.7913715,0.79657894,0.79455835,0.78009385,H
13,0.77127206,0.7805664,0.7879111,0.7539154,L
14,0.8060514,0.79356956,0.7946999,0.7858629,H
15,0.803586,0.8039943,0.80211645,0.7796589,H
16,0.7654681,0.7552423,0.7591008,0.7546014,L
17,0.7705078,0.77676016,0.76479244,0.7671631,L
18,0.76276314,0.75642955,0.7671477,0.7396228,H
19,0.7280195,0.7415045,0.74719065,0.7500984,L
20,0.76507694,0.7767165,0.7800505,0.75952727,H
21,0.7789543,0.7657039,0.7735542,0.75493276,L
22,0.7902038,0.79268736,0.78518987,0.78929865,H
23,0.78023505,0.76858217,0.77809745,0.77629393,L
24,0.829005,0.82011896,0.80921745,0.7934203,H
25,0.81632465,0.82192874,0.8164092,0.7801611,L
26,0.81728196,0.80122954,0.8144882,0.7967385,H
27,0.78555334,0.80049837,0.8061121,0.7853532,L
28,0.8023316,0.8006098,0.7843653,0.79256785,L
29,0.80384517,0.796451,0.7852062,0.791317,H
30,0.7750759,0.7926434,0.8008913,0.78161025,H
31,0.79530495,0.7795912,0.7823897,0.78147995,H
32,0.7744004,0.7704467,0.7737332,0.7653841,L
33,0.76622784,0.7813892,0.7569095,0.76752084,L
34,0.76984173,0.7797472,0.7601764,0.76086926,H
35,0.79945946,0.79917276,0.78574,0.7735517,H
36,0.77598023,0.7800264,0.76959485,0.765056,L
37,0.79241914,0.7968267,0.7745704,0.7813108,L
38,0.7738522,0.7811351,0.7680641,0.7756488,L
39,0.79548097,0.78491485,0.78384835,0.77102023,H
