,expected,within,between,unexpected,constraint
0,0.34344512,0.41510025,0.2954538,0.2943836,H
1,0.32996997,0.33319673,0.354405,0.38424352,H
2,0.4811559,0.4202577,0.5072986,0.37921262,H
3,0.30210748,0.34946492,0.3293261,0.38436177,H
4,0.5203272,0.5090849,0.47888845,0.49035856,L
5,0.5216764,0.43607286,0.58455646,0.3518277,L
6,0.38466907,0.4341789,0.33792275,0.36511385,L
7,0.56567824,0.5152034,0.441955,0.35471088,L
8,0.39363006,0.368871,0.39181116,0.32178468,L
9,0.33367702,0.38510463,0.304873,0.33744273,H
10,0.40045542,0.5958708,0.5283794,0.41924778,H
11,0.50314415,0.37142968,0.42036995,0.394245,H
12,0.5051703,0.5184215,0.5660743,0.4086072,H
13,0.4871487,0.43283728,0.32339337,0.4424826,L
14,0.24469315,0.4618207,0.46870422,0.19441882,H
15,0.5954259,0.4440968,0.48578024,0.3622849,H
16,0.30804422,0.37805313,0.5188674,0.41398793,L
17,0.40206498,0.36191258,0.4374337,0.4726017,L
18,0.47191852,0.44483167,0.3677612,0.39882433,H
19,0.35127783,0.40065354,0.26588535,0.35140258,L
20,0.40487388,0.4368094,0.34821698,0.3580869,H
21,0.4766166,0.4605236,0.4864318,0.30290088,L
22,0.45796853,0.36574465,0.3743524,0.36244577,H
23,0.35441184,0.49225897,0.4252414,0.36403042,L
24,0.5997829,0.60938096,0.5478069,0.44832182,H
25,0.5522251,0.5151364,0.5268046,0.56058055,L
26,0.4389753,0.3999829,0.44985905,0.5115128,H
27,0.4296551,0.3871649,0.41931355,0.4948278,L
28,0.5581499,0.45096463,0.43221083,0.327917,L
29,0.5408255,0.6120816,0.5527008,0.5469976,H
30,0.5531477,0.38247833,0.54301447,0.42433622,H
31,0.4178353,0.5327637,0.45854038,0.39270058,H
32,0.29991412,0.43049073,0.3809249,0.36063027,L
33,0.5143038,0.39686084,0.44309098,0.39528286,L
34,0.38486266,0.38522407,0.3701491,0.3262392,H
35,0.48161003,0.48737967,0.40432882,0.48201215,H
36,0.305792,0.36070514,0.39504492,0.2996815,L
37,0.4082331,0.30971634,0.4138711,0.3042852,L
38,0.48286453,0.41177788,0.30523553,0.43210256,L
39,0.41114333,0.35051838,0.38330585,0.35906422,H
