,expected,within,between,unexpected,constraint
0,0.09444087,0.06318978,0.18635862,0.06667484,H
1,0.042583533,0.18413174,0.2153328,0.09735556,H
2,0.3245591,0.2741739,0.11808751,0.009989062,H
3,0.2099556,0.2227393,0.20010935,0.13095006,H
4,0.3351098,0.3016739,0.1793485,0.22205521,L
5,0.2832883,0.1650785,0.30845663,0.19300978,L
6,0.0496978,0.11018912,0.07741241,0.06484354,L
7,0.34315795,0.20750548,0.12606764,0.16161281,L
8,0.11362198,0.10481099,0.12708788,0.099382706,L
9,0.27856982,0.28108194,0.2360749,0.19332476,H
10,0.43851388,0.39862671,0.41945833,0.18016472,H
11,0.19429581,0.09798247,0.0883028,0.11408711,H
12,0.24390416,0.2437654,0.18906535,0.118838385,H
13,0.24234591,0.18413736,0.12729785,0.13645677,L
14,0.13852556,0.19332682,0.1717779,0.08619979,H
15,0.28670126,0.23249578,0.2860305,0.12919578,H
16,0.13658826,0.15812552,0.16019292,0.122823015,L
17,0.14943142,0.2216642,0.14900121,0.1177179,L
18,0.11829191,0.15824458,0.13941881,0.14021361,H
19,0.20797998,0.22436212,0.19081753,0.14747995,L
20,0.31010538,0.2863772,0.16744007,0.11580491,H
21,0.1313979,0.07120281,0.11935225,0.05532618,L
22,0.11792261,0.048696075,0.13753335,0.12692955,H
23,0.0611233,0.12734687,0.044792153,0.08213351,L
24,0.35709286,0.24966352,0.2915091,0.07500018,H
25,0.21097255,0.27039528,0.29162267,0.18151794,L
26,0.24982515,0.24167778,0.24110322,0.32912531,H
27,0.2417349,0.18653256,0.18154944,0.20621915,L
28,0.24659112,0.22982734,0.24646449,0.17616631,L
29,0.22789593,0.22902976,0.20676054,0.19795954,H
30,0.26293504,0.13877104,0.37034354,0.12608674,H
31,0.25061554,0.17010255,0.12173347,0.18508413,H
32,0.08966137,0.16243322,0.09988509,0.031077724,L
33,0.10996249,0.13493937,0.11772941,0.17855142,L
34,0.13151926,0.10205581,0.072986834,0.13207248,H
35,0.0875028,0.15962374,0.11836759,0.05575713,H
36,0.16353859,0.11108103,0.08076779,0.1503049,L
37,0.12901714,0.08936282,0.17219871,0.1710289,L
38,0.27043402,0.18497883,0.16486931,0.118799575,L
39,0.15029058,0.08946635,0.026851593,0.03406812,H
