,expected,within,between,unexpected,constraint
0,0.094125114,0.07701904,0.18565501,0.046653923,H
1,0.05748308,0.19093761,0.21781006,0.11088353,H
2,0.3383138,0.2745673,0.12018875,0.06030142,H
3,0.21353409,0.22111066,0.17318895,0.14280307,H
4,0.15437433,0.19471438,0.13168773,0.16212991,L
5,0.26412374,0.16006936,0.29393488,0.159535,L
6,0.07695605,0.1311236,0.087961555,0.11770553,L
7,0.28828406,0.15001811,0.102901764,0.18016003,L
8,0.39679006,0.30516735,0.26367027,0.24724197,L
9,0.14998679,0.22027428,0.118573196,0.105462246,H
10,0.21205707,0.21217388,0.2262786,0.13674092,H
11,0.15781972,0.13073501,0.08995662,0.16102014,H
12,0.21945427,0.16647166,0.14415699,0.11816422,H
13,0.19516182,0.18289268,0.12146283,0.14336166,L
14,0.17024478,0.2352949,0.20937896,0.110247396,H
15,0.24412091,0.1736243,0.2671543,0.17433946,H
16,0.14877914,0.15022492,0.19427007,0.14255266,L
17,0.1760218,0.16973285,0.18369314,0.117854,L
18,0.16431108,0.18615717,0.15073457,0.115809925,H
19,0.111325435,0.15884045,0.16483589,0.11263371,L
20,0.14847977,0.15642913,0.039936434,0.15312754,H
21,0.16099805,0.11299447,0.13543053,0.084187105,L
22,0.1886573,0.09330707,0.18699451,0.14317143,H
23,0.08603382,0.1404977,0.053426545,0.10543817,L
24,0.3483875,0.2486251,0.29779086,0.118285045,H
25,0.21816385,0.2372997,0.26902142,0.22071394,L
26,0.38541234,0.3028587,0.32162476,0.34719697,H
27,0.2038764,0.15652184,0.18202753,0.27240664,L
28,0.29886457,0.22612856,0.23076819,0.17349276,L
29,0.26820853,0.2437012,0.19235383,0.1712031,H
30,0.28307804,0.20984466,0.3296067,0.15420212,H
31,0.16290796,0.21217836,0.20922309,0.16771488,H
32,0.114366144,0.14790009,0.09676835,0.051088657,L
33,0.185452,0.112153485,0.09955822,0.16302317,L
34,0.13107757,0.09900498,0.07446398,0.13478288,H
35,0.073912464,0.13717139,0.14299259,0.086859964,H
36,0.055705525,0.068691306,0.06153883,0.18629487,L
37,0.11387119,0.065596685,0.15677443,0.1767512,L
38,0.21909148,0.108858585,0.078437366,0.112896465,L
39,0.16219951,0.14064677,0.105112806,0.051506568,H
