,expected,within,between,unexpected,constraint
0,0.7574623,0.74018395,0.72877175,0.7374474,H
1,0.7473536,0.7567597,0.7555767,0.726732,H
2,0.8064548,0.77668,0.76731575,0.7644572,H
3,0.78820217,0.7639999,0.74798137,0.7279248,H
4,0.7646084,0.7640652,0.75574505,0.73479605,L
5,0.76251835,0.749973,0.7495756,0.74566126,L
6,0.7909072,0.750335,0.7477072,0.73790234,L
7,0.7303603,0.7277741,0.73098105,0.7476681,L
8,0.7926912,0.7800171,0.76287055,0.766471,L
9,0.7744954,0.75652593,0.7563098,0.7428688,H
10,0.7701689,0.7664807,0.7503991,0.71846837,H
11,0.7745022,0.76894605,0.7624574,0.73349786,H
12,0.77330744,0.7601181,0.7667911,0.73871654,H
13,0.7734108,0.7779592,0.75750613,0.7352562,L
14,0.812788,0.791165,0.7642219,0.7458867,H
15,0.79256576,0.7847144,0.7531306,0.740532,H
16,0.7686723,0.7359318,0.7674832,0.7196648,L
17,0.7602295,0.76204467,0.751743,0.75329757,L
18,0.7683462,0.7379978,0.76907945,0.733858,H
19,0.75642407,0.7447201,0.7256374,0.7307519,L
20,0.76754063,0.7610111,0.75655526,0.7345138,H
21,0.77376014,0.756104,0.76270014,0.7176108,L
22,0.7909248,0.76273125,0.75527424,0.73512465,H
23,0.7861799,0.7674595,0.7762212,0.7217748,L
24,0.796324,0.7714847,0.7708419,0.7376991,H
25,0.7833709,0.7821975,0.77234006,0.75118697,L
26,0.77671653,0.7718051,0.7820249,0.7471557,H
27,0.7826684,0.7873245,0.7779564,0.75335497,L
28,0.7934331,0.77477103,0.74393946,0.7504584,L
29,0.7550716,0.75098145,0.7448101,0.7384298,H
30,0.7737561,0.75798863,0.76601434,0.76339746,H
31,0.74242866,0.751932,0.7387447,0.71734595,H
32,0.75919795,0.7515728,0.76149046,0.7369857,L
33,0.7520248,0.73544127,0.7406023,0.75175977,L
34,0.77755463,0.74981356,0.76115036,0.7442945,H
35,0.7446782,0.78203183,0.7463418,0.7438198,H
36,0.7530565,0.7583645,0.7561524,0.7478038,L
37,0.7780902,0.76757866,0.75527614,0.72096765,L
38,0.7583356,0.75534385,0.7458002,0.7263314,L
39,0.77623737,0.7522572,0.7589057,0.7427135,H
