"","item","sentence","condition","e1","e2","context","target","lp_pythia","s_lp"
"1",1,"The murder had been witnessing by the three bystanders","Attraction Violation",1,1,"The murder had been","witnessing",-11.0512943267822,-0.212241018401364
"2",1,"The murder had been witnessed in the dark.","Passive Control",1,1,"The murder had been","witnessed",-6.42312049865723,1.08287189036188
"3",1,"The bystanders had been witnessing the crime.","Active Control",1,0,"The bystanders had been","witnessing",-8.99440860748291,0.363342212878118
"4",1,"The unpleasant cough syrup was witnessing in the dark.","No-Attraction Violation",0,1,"The unpleasant cough syrup was","witnessing",-14.6032295227051,-1.20618750661999
"5",2,"Patty's overgrown lawn was mowing the boy next door.","Attraction Violation",1,1,"Patty's overgrown lawn was","mowing",-9.44507598876953,0.237230885875673
"6",2,"Patty's overgrown lawn was mowed only last week.","Passive Control",1,1,"Patty's overgrown lawn was","mowed",-8.09165978431702,0.615960566827592
"7",2,"Patty's teenage son was mowing the lawn.","Active Control",1,0,"Patty's teenage son was","mowing",-11.0571513175964,-0.21387999409495
"8",2,"All of her money had been mowing the grass.","No-Attraction Violation",0,1,"All of her money had been","mowing",-14.3117094039917,-1.1246107372654
"9",3,"Three more martinis were ordering by Laurie's sister.","Attraction Violation",1,1,"Three more martinis were","ordering",-11.275218963623,-0.274902383020021
"10",3,"Three more martinis were ordered repeatedly.","Passive Control",1,1,"Three more martinis were","ordered",-5.04572677612305,1.46831125732407
"11",3,"The regular customers were ordering quiche, as usual.","Active Control",1,0,"The regular customers were","ordering",-9.74759197235107,0.152577117457819
"12",3,"The rough part of the wood was ordering late.","No-Attraction Violation",0,1,"The rough part of the wood was","ordering",-13.6234321594238,-0.932008476124968
"13",4,"The quality of Karla's work was evaluating frequently.","Attraction Violation",1,1,"The quality of Karla's work was","evaluating",-12.9172773361206,-0.734403489534406
"14",4,"The quality of Karla's work was evaluated frequently.","Passive Control",1,1,"The quality of Karla's work was","evaluated",-5.07499217987061,1.46012184966974
"15",4,"The engineers were evaluating the success of the new device.","Active Control",1,0,"The engineers were","evaluating",-9.19380187988281,0.307545518415957
"16",4,"The old lady's purse had been evaluating Nelson's idea.","No-Attraction Violation",0,1,"The old lady's purse had been","evaluating",-15.584789276123,-1.48085971094579
"17",5,"The legal contract had been signing falsely.","Attraction Violation",1,1,"The legal contract had been","signing",-9.86101913452148,0.120836524431996
"18",5,"The legal contract had been signed by the family.","Passive Control",1,1,"The legal contract had been","signed",-2.29778695106506,2.23727380542677
"19",5,"The state's governor had been signing new legislation.","Active Control",1,0,"The state's governor had been","signing",-8.73102760314941,0.437044746815468
"20",5,"An appointment was signing falsely.","No-Attraction Violation",0,1,"An appointment was","signing",-12.5279836654663,-0.625466514198615
"21",6,"The vocabulary list was memorizing well.","Attraction Violation",1,1,"The vocabulary list was","memorizing",-17.6548066139221,-2.06011759431561
"22",6,"The vocabulary list was memorized well.","Passive Control",1,1,"The vocabulary list was","memorized",-12.8084930628538,-0.70396212717198
"23",6,"The medical students were memorizing sample exam questions all night.","Active Control",1,0,"The medical students were","memorizing",-15.7543914318085,-1.52831988624159
"24",6,"The simple coffin was memorizing the lines of the poem.","No-Attraction Violation",0,1,"The simple coffin was","memorizing",-16.2493886947632,-1.66683614964539
"25",7,"The firewood had been chopping poorly.","Attraction Violation",1,1,"The firewood had been","chopping",-11.770266354084,-0.413432673723321
"26",7,"The firewood had been chopped by Jen's grandfather.","Passive Control",1,1,"The firewood had been","chopped",-8.06921291351318,0.622241928163401
"27",7,"Jen's grandfather had been chopping the firewood.","Active Control",1,0,"Jen's grandfather had been","chopping",-13.1457849740982,-0.798347326279985
"28",7,"Mark's wrinkly shirts were chopping vegetables.","No-Attraction Violation",0,1,"Mark's wrinkly shirts were","chopping",-14.371134519577,-1.1412398089376
