,expected,within,between,unexpected,constraint
0,0.38237953,0.29386568,0.42878693,0.31301498,H
1,0.32996997,0.33319673,0.354405,0.38424352,H
2,0.29997444,0.36119512,0.4314643,0.31634066,H
3,0.26847208,0.28866312,0.2799452,0.38498458,H
4,0.4895766,0.52220696,0.39784673,0.55748236,L
5,0.55804706,0.46942788,0.5616397,0.3534481,L
6,0.3488289,0.3938853,0.32103738,0.35106236,L
7,0.5377213,0.493372,0.41084254,0.352542,L
8,0.41349858,0.42211682,0.45412794,0.4265016,L
9,0.5555492,0.58583796,0.44411078,0.3880011,H
10,0.5604569,0.74952555,0.7294158,0.42675367,H
11,0.4756531,0.3304077,0.46010733,0.3997542,H
12,0.5051703,0.5184215,0.5660743,0.4086072,H
13,0.4871487,0.43283728,0.32339337,0.4424826,L
14,0.24469315,0.4618207,0.46870422,0.19441882,H
15,0.6607087,0.46259016,0.547175,0.32893687,H
16,0.30086204,0.37006256,0.5013144,0.3998145,L
17,0.4361121,0.40785563,0.5179695,0.4932162,L
18,0.42562544,0.4083596,0.3456782,0.37626225,H
19,0.53000134,0.50862914,0.3753374,0.40716466,L
20,0.55971396,0.49735388,0.47006807,0.40629277,H
21,0.42843133,0.36522588,0.39949173,0.31743222,L
22,0.42626697,0.31724203,0.32017767,0.40160248,H
23,0.3510632,0.47922465,0.4203457,0.41756302,L
24,0.56968176,0.58002216,0.4724914,0.42161182,H
25,0.56181675,0.51622254,0.5116284,0.55790913,L
26,0.5130485,0.46881706,0.5100437,0.48035473,H
27,0.41357738,0.4991783,0.5460227,0.58012325,L
28,0.5147049,0.3995526,0.46054792,0.37705588,L
29,0.52062863,0.5512908,0.49445257,0.5105534,H
30,0.5801529,0.4204476,0.58385134,0.43512648,H
31,0.47112536,0.49680567,0.3801112,0.46860033,H
32,0.32258514,0.4164338,0.36996248,0.35000134,L
33,0.40252414,0.41882098,0.36049384,0.3790936,L
34,0.3369132,0.35056227,0.31708032,0.26640108,H
35,0.42889678,0.44231424,0.39456394,0.45381635,H
36,0.31768626,0.43444347,0.41679877,0.2859794,L
37,0.37652493,0.25378805,0.38789496,0.2666921,L
38,0.427628,0.32983354,0.2764915,0.36086383,L
39,0.47959292,0.39224365,0.41913825,0.3359411,H
