,expected,within,between,unexpected,constraint
0,0.16286024,0.07972437,0.09909368,0.07401098,H
1,0.15835673,0.2564271,0.15899602,0.07435356,H
2,0.26381135,0.21315554,0.23687711,0.077122964,H
3,0.18460746,0.1601342,0.14837933,0.11721582,H
4,0.12584987,0.20669383,0.18924655,0.12297817,L
5,0.2221578,0.12628248,0.35632163,0.11030268,L
6,0.12207484,0.1167515,0.027971461,0.06396233,L
7,0.3015054,0.1916637,0.0955196,0.049656596,L
8,0.30537248,0.2045772,0.25207838,0.32252705,L
9,0.07973531,0.1215086,0.06951522,0.06384544,H
10,0.1676832,0.22572707,0.19195722,0.1387555,H
11,0.0955005,0.061884273,0.08693233,0.088600725,H
12,0.24660867,0.28242353,0.17918758,0.1011641,H
13,0.2553144,0.1942155,0.09811069,0.054553073,L
14,0.17102888,0.12186867,0.2708016,0.084652044,H
15,0.30324316,0.2967837,0.25669956,0.18254922,H
16,0.16746648,0.11984718,0.23024872,0.10632585,L
17,0.105052404,0.07328853,0.14450285,0.088531926,L
18,0.12795345,0.13510706,0.06767407,0.10925218,H
19,0.04961981,0.043717414,0.030635975,0.015563981,L
20,0.09872384,0.12385333,0.11331227,0.15243572,H
21,0.18435965,0.09660203,0.106795326,0.07715054,L
22,0.06205882,0.04950118,0.107862055,0.13975616,H
23,0.0129395,0.029728578,0.084300056,0.09479811,L
24,0.4461118,0.3362502,0.42815125,0.06587135,H
25,0.24729079,0.33783957,0.31231004,0.07061462,L
26,0.3869101,0.39850616,0.42585924,0.1951478,H
27,0.3585952,0.3395844,0.3129803,0.11979782,L
28,0.088805124,0.12597002,0.18610096,0.12521262,L
29,0.110969104,0.1165349,0.06789127,0.12760137,H
30,0.12740533,0.006419453,0.13133164,0.07313603,H
31,0.110259645,0.11365449,0.12811488,0.12404001,H
32,0.10228204,0.043642443,0.10782384,0.022040332,L
33,0.03413709,0.067492016,0.027273983,0.10576057,L
34,0.1512431,0.11360082,0.11676346,0.0594665,H
35,-0.01308883,0.029722532,-0.060993604,0.025830578,H
36,0.15044764,0.12954031,0.20185961,0.17654449,L
37,0.11814468,0.105601996,0.19284657,0.15903246,L
38,0.26965708,0.19362472,0.25234008,0.12393691,L
39,0.23148821,0.15453424,0.1062353,0.058299243,H
