,expected,within,between,unexpected,constraint
0,0.7391205,0.73924524,0.7380112,0.7496962,H
1,0.7598421,0.7890348,0.77522254,0.75399363,H
2,0.7936239,0.7796275,0.7664296,0.74504566,H
3,0.7717684,0.7765536,0.7679014,0.7723967,H
4,0.7713496,0.7562294,0.74560523,0.7445397,L
5,0.76251125,0.76998496,0.763709,0.750291,L
6,0.7503617,0.7455769,0.73205334,0.73761153,L
7,0.7524402,0.7578566,0.76599246,0.7535571,L
8,0.80527276,0.79872966,0.7861397,0.78508776,L
9,0.75824183,0.7385401,0.7373569,0.7486488,H
10,0.7696751,0.7762031,0.7614405,0.740461,H
11,0.7317128,0.7246369,0.7376497,0.72420865,H
12,0.7627666,0.7681112,0.75961286,0.7529571,H
13,0.76406324,0.7710376,0.77949446,0.7401147,L
14,0.7623192,0.74527884,0.7432696,0.74025476,H
15,0.77738065,0.7847725,0.76398206,0.7475767,H
16,0.727124,0.71910626,0.72606415,0.72052544,L
17,0.7555526,0.7711281,0.75605285,0.7546215,L
18,0.72021073,0.71832335,0.7141699,0.7057871,H
19,0.7243757,0.7338819,0.73438793,0.7388652,L
20,0.73460567,0.7455146,0.74403375,0.7289528,H
21,0.77022636,0.76010364,0.747809,0.7582155,L
22,0.7523455,0.7637447,0.746425,0.759675,H
23,0.7739905,0.7585485,0.77597535,0.7645997,L
24,0.7862807,0.779982,0.7878581,0.7526545,H
25,0.78959477,0.7895373,0.8015117,0.7568793,L
26,0.79022366,0.77141875,0.7837356,0.7526377,H
27,0.7705788,0.7853183,0.78364503,0.7528771,L
28,0.7856782,0.7808164,0.7622133,0.7798847,L
29,0.7448482,0.7539076,0.7511932,0.7526251,H
30,0.749771,0.74467915,0.76255965,0.7410652,H
31,0.76136017,0.74738556,0.7594331,0.75533557,H
32,0.7526064,0.7472531,0.7511196,0.7411774,L
33,0.7393672,0.75247335,0.74161166,0.73991805,L
34,0.74468094,0.7575936,0.73975945,0.7387696,H
35,0.7733985,0.77551705,0.7651125,0.7567017,H
36,0.76184833,0.76732033,0.75774,0.76547194,L
37,0.76523703,0.76525205,0.754523,0.75979614,L
38,0.7645401,0.7555707,0.7591065,0.7611694,L
39,0.75183344,0.7417059,0.74622566,0.7314567,H
