,expected,within,between,unexpected,constraint
0,0.36314756,0.412567,0.33022332,0.31910864,H
1,0.37677667,0.36071092,0.37541953,0.40011236,H
2,0.4036715,0.38554445,0.48490357,0.35156438,H
3,0.31825104,0.35764587,0.35983077,0.44094837,H
4,0.41024745,0.4292233,0.4216274,0.47741136,L
5,0.48313698,0.43582147,0.566903,0.3783315,L
6,0.35730267,0.40654394,0.34790814,0.3727975,L
7,0.51488876,0.45038584,0.38042396,0.3908318,L
8,0.5907931,0.5402465,0.5877783,0.51279527,L
9,0.3395384,0.38771677,0.31252155,0.3484506,H
10,0.38276356,0.5694695,0.4925065,0.4133506,H
11,0.50530934,0.35067302,0.41247314,0.3923849,H
12,0.48235524,0.48912853,0.51942754,0.45104516,H
13,0.4992368,0.45657048,0.32436258,0.46359435,L
14,0.30109358,0.47685063,0.48039716,0.26817596,H
15,0.55916077,0.41713315,0.4854019,0.3498938,H
16,0.31682768,0.37412688,0.502897,0.40824133,L
17,0.42744035,0.3915675,0.46131912,0.49456647,L
18,0.45293272,0.45050532,0.35675347,0.41175708,H
19,0.4301261,0.4835911,0.30196694,0.38408205,L
20,0.40435287,0.4168858,0.35414773,0.36926302,H
21,0.44487604,0.39437696,0.44181678,0.32545096,L
22,0.48584783,0.3638617,0.39047992,0.4167147,H
23,0.35029042,0.5077574,0.431322,0.42666498,L
24,0.5479968,0.54706454,0.4770559,0.4535855,H
25,0.5377284,0.5049538,0.49557635,0.56660354,L
26,0.5069399,0.4754741,0.5333535,0.65631676,H
27,0.39130077,0.38914806,0.4407014,0.50060725,L
28,0.59566486,0.43232474,0.4081867,0.35010228,L
29,0.5014674,0.63556296,0.49247473,0.50022924,H
30,0.5637238,0.3896045,0.6168243,0.4538071,H
31,0.38211071,0.5055411,0.46204513,0.3948627,H
32,0.35012284,0.43227386,0.38525513,0.36099878,L
33,0.48089814,0.39560825,0.40521953,0.38747582,L
34,0.37049496,0.39630905,0.35359523,0.29201597,H
35,0.44051147,0.4561259,0.43940252,0.45677716,H
36,0.2997038,0.3553935,0.3677549,0.31933615,L
37,0.39440435,0.2788362,0.41425443,0.3004762,L
38,0.45590842,0.37175283,0.29345667,0.43412474,L
39,0.44447356,0.42277992,0.45053697,0.37244582,H
