,expected,within,between,unexpected,constraint
0,0.27094975,0.13881887,0.17781602,0.018749312,H
1,0.06356156,0.1678969,0.21072502,0.19939771,H
2,0.3390779,0.21274641,0.100935034,0.08096876,H
3,0.29998395,0.34666246,0.21438986,0.14046969,H
4,0.23700784,0.26607564,0.16355963,0.22409168,L
5,0.32614785,0.20735759,0.3693323,0.1941403,L
6,0.08832721,0.1434653,0.11586664,0.06371858,L
7,0.2886551,0.17069022,0.09936228,0.15773691,L
8,0.4939669,0.36367548,0.36448228,0.30940184,L
9,0.28439292,0.29006138,0.2423921,0.17941901,H
10,0.37904698,0.32135427,0.33457747,0.1502335,H
11,0.32480648,0.24654049,0.20707785,0.2047806,H
12,0.24771704,0.19268528,0.15317468,0.14652193,H
13,0.35695937,0.31292024,0.2005811,0.20932204,L
14,0.19490336,0.27711213,0.23719119,0.107777484,H
15,0.3440387,0.26328918,0.27640477,0.18310381,H
16,0.2414746,0.16151524,0.21865904,0.1409535,L
17,0.17245436,0.22109303,0.20564315,0.164019,L
18,0.30336395,0.2551164,0.25468963,0.12589094,H
19,0.2507967,0.22143932,0.16515222,0.17731564,L
20,0.3259461,0.26510268,0.20032662,0.116933465,H
21,0.29312456,0.2008027,0.2347633,0.059419025,L
22,0.2309499,0.0751492,0.16468768,0.12624456,H
23,0.2705654,0.3027213,0.28661472,0.07173406,L
24,0.46784532,0.34297284,0.32801962,0.17793332,H
25,0.30064628,0.33168426,0.28799695,0.24471846,L
26,0.38105774,0.31502086,0.3302941,0.362417,H
27,0.22627261,0.16476043,0.13709114,0.14526144,L
28,0.31846663,0.27075022,0.28505114,0.21496333,L
29,0.2103789,0.24115661,0.2006289,0.16630268,H
30,0.28946313,0.1795305,0.39161438,0.1730566,H
31,0.25061554,0.17010255,0.12173347,0.18508413,H
32,0.30393708,0.24443308,0.14291528,0.11585494,L
33,0.23448567,0.3159433,0.21208698,0.18877439,L
34,0.16942911,0.08339505,0.1031956,0.15537964,H
35,0.14706886,0.17265584,0.1805093,0.09671457,H
36,0.12571089,0.10296018,0.09155893,0.20705448,L
37,0.17085882,0.19919631,0.21762562,0.18851154,L
38,0.38294035,0.31929576,0.30862695,0.1207433,L
39,0.3018086,0.27009845,0.22108531,0.06284616,H
