,expected,within,between,unexpected,constraint
0,0.42100477,0.43578646,0.3789329,0.33796415,H
1,0.4135602,0.38630432,0.39516065,0.4513129,H
2,0.4662706,0.41418168,0.4684238,0.4304441,H
3,0.47301972,0.43480068,0.45324492,0.46879914,H
4,0.39169008,0.41549903,0.39389008,0.52639014,L
5,0.50246304,0.43412745,0.55488634,0.39718387,L
6,0.45673016,0.49455842,0.41633412,0.42982155,L
7,0.48820606,0.41081452,0.35973057,0.39480674,L
8,0.6164766,0.5062792,0.61197233,0.52290773,L
9,0.49077797,0.5513386,0.41877308,0.43208045,H
10,0.46863553,0.6288084,0.5853567,0.4564995,H
11,0.5950149,0.4207075,0.45870295,0.45346293,H
12,0.4981285,0.52875763,0.548143,0.46703967,H
13,0.5644411,0.521716,0.41285887,0.54782337,L
14,0.4179965,0.62060773,0.547871,0.34138665,H
15,0.5701912,0.43346345,0.49246344,0.3614488,H
16,0.33463222,0.3968673,0.510706,0.42215678,L
17,0.41789308,0.3847784,0.5218076,0.5598883,L
18,0.5336789,0.5151092,0.40592727,0.47445774,H
19,0.52098817,0.5417841,0.33657458,0.4400633,L
20,0.53546923,0.49823734,0.4219844,0.4051294,H
21,0.54760915,0.5524286,0.57160676,0.45466855,L
22,0.5892552,0.44862115,0.48997885,0.45891747,H
23,0.43362433,0.568827,0.48491478,0.4736098,L
24,0.55334413,0.5562994,0.50409716,0.47454458,H
25,0.5216026,0.49210992,0.46168232,0.54101115,L
26,0.51445377,0.47802645,0.5348766,0.6788727,H
27,0.40990603,0.43011814,0.48204613,0.49757203,L
28,0.65920174,0.48584342,0.4184341,0.4131001,L
29,0.544638,0.65151036,0.5409084,0.5085695,H
30,0.6048748,0.47305673,0.6700709,0.5271443,H
31,0.46044448,0.5785518,0.51491183,0.50155354,H
32,0.48470685,0.49226055,0.45586127,0.40875417,L
33,0.52517176,0.46954823,0.4883989,0.47575903,L
34,0.4610789,0.47805104,0.4684323,0.29675713,H
35,0.49546513,0.4634236,0.41908285,0.4859547,H
36,0.34765196,0.4491213,0.43986112,0.38829342,L
37,0.59641564,0.3884174,0.52325505,0.37387607,L
38,0.5471657,0.44676015,0.3533545,0.4366798,L
39,0.550444,0.49185428,0.5319053,0.37927505,H
