,expected,within,between,unexpected,constraint
0,0.22065665,0.12632829,0.21875001,0.026916144,H
1,0.04158437,0.17134237,0.25040615,0.15565352,H
2,0.34755373,0.23643644,0.108301945,0.13368744,H
3,0.33880177,0.32170358,0.19199984,0.16849749,H
4,0.16212545,0.1967283,0.13894393,0.18210952,L
5,0.25999138,0.15777181,0.30966467,0.18033315,L
6,0.23041126,0.22064424,0.17656627,0.12952003,L
7,0.2800082,0.16757713,0.094684295,0.15371364,L
8,0.38021874,0.26009035,0.2649635,0.24949962,L
9,0.3075304,0.36238965,0.23876528,0.16910152,H
10,0.29337198,0.2831306,0.31594938,0.19243132,H
11,0.28899857,0.2298994,0.1825361,0.25837013,H
12,0.27037138,0.2324061,0.17650338,0.21920766,H
13,0.292412,0.27460095,0.2147437,0.24226855,L
14,0.33869419,0.38162234,0.27418968,0.19388579,H
15,0.24584168,0.17116098,0.26974455,0.21368082,H
16,0.23134077,0.16284904,0.22645998,0.19137047,L
17,0.25990245,0.24681178,0.25192794,0.19115822,L
18,0.32360402,0.25922439,0.26620874,0.16687797,H
19,0.20038055,0.22476982,0.21639358,0.14843056,L
20,0.30014008,0.25902823,0.18225943,0.1573227,H
21,0.30669665,0.23408256,0.2772145,0.24288028,L
22,0.393012,0.21339427,0.30648276,0.15300678,H
23,0.22514206,0.27210838,0.24256444,0.14981242,L
24,0.3658737,0.28449637,0.27916604,0.22895962,H
25,0.25837585,0.26392627,0.2482016,0.27020568,L
26,0.3767843,0.3069074,0.3144161,0.37420377,H
27,0.21028757,0.1587458,0.15640855,0.17985947,L
28,0.37771407,0.25921538,0.26221043,0.19582963,L
29,0.2799217,0.37355593,0.24581218,0.18786032,H
30,0.35222045,0.26823863,0.42303613,0.22353706,H
31,0.24812655,0.3077787,0.1990914,0.29127592,H
32,0.36830896,0.26871777,0.1847264,0.13038549,L
33,0.2572038,0.28328422,0.18592119,0.2469649,L
34,0.23080114,0.15850396,0.1938375,0.18173826,H
35,0.13992102,0.22323722,0.25931713,0.17666318,H
36,0.25831023,0.17010874,0.15385354,0.27021915,L
37,0.29389268,0.3102607,0.3334402,0.2201321,L
38,0.35865697,0.2376025,0.2585937,0.11408662,L
39,0.35502368,0.33158574,0.27658126,0.1318466,H
