,expected,within,between,unexpected,constraint
0,0.43326357,0.3848534,0.39600822,0.3182025,H
1,0.41145808,0.35494107,0.3845266,0.48462242,H
2,0.45309323,0.4030644,0.40388298,0.4256057,H
3,0.42464072,0.40473026,0.4041091,0.4289147,H
4,0.39505327,0.44142413,0.38040078,0.5536686,L
5,0.5733739,0.4931626,0.59802705,0.41810584,L
6,0.40430796,0.4603727,0.36120972,0.40223593,L
7,0.5201743,0.44491258,0.38481843,0.37326404,L
8,0.7023358,0.62018454,0.68723243,0.57844627,L
9,0.53699493,0.5703385,0.42663774,0.41351524,H
10,0.5009469,0.6488413,0.63055295,0.46457458,H
11,0.6176601,0.44652817,0.5261206,0.43599644,H
12,0.52680314,0.5467677,0.5844988,0.45444882,H
13,0.5684346,0.5221768,0.4199448,0.55426025,L
14,0.34485716,0.54711634,0.52495295,0.27671266,H
15,0.62174237,0.42351338,0.5148425,0.32867736,H
16,0.32557875,0.38993314,0.5048576,0.43226478,L
17,0.38017645,0.37736195,0.55964905,0.52596605,L
18,0.52558404,0.5092675,0.39304045,0.4507415,H
19,0.5819683,0.53184336,0.35347235,0.41690257,L
20,0.591217,0.5167341,0.49511293,0.39750457,H
21,0.55481255,0.5601149,0.60674417,0.47139555,L
22,0.53030217,0.44103336,0.44697973,0.48251325,H
23,0.4281854,0.5874707,0.48499882,0.48390538,L
24,0.6040007,0.6104051,0.5334671,0.48240328,H
25,0.5962646,0.567275,0.5067637,0.5806636,L
26,0.5713029,0.50875056,0.5686716,0.5904138,H
27,0.40956262,0.44442,0.49305665,0.4798386,L
28,0.5778118,0.44209233,0.43245807,0.42568797,L
29,0.53385764,0.5868397,0.5393792,0.52127135,H
30,0.5889392,0.4547068,0.6212636,0.46197584,H
31,0.47112536,0.49680567,0.3801112,0.46860033,H
32,0.4835003,0.47888643,0.42581218,0.38541895,L
33,0.47382775,0.48392263,0.45973694,0.45856223,L
34,0.41971093,0.38618222,0.41589865,0.23159087,H
35,0.5025474,0.46688083,0.4149446,0.52105266,H
36,0.31294617,0.42767462,0.43026623,0.33796737,L
37,0.61592454,0.34349617,0.5140511,0.34186068,L
38,0.51214564,0.43120202,0.34725904,0.4157814,L
39,0.6007483,0.5011317,0.57402587,0.33611423,H
