,expected,within,between,unexpected,constraint
0,0.27094975,0.13881887,0.17781602,0.018749312,H
1,0.05555784,0.16389471,0.21617158,0.19655529,H
2,0.3307673,0.21335301,0.08091053,0.098493084,H
3,0.29998395,0.34666246,0.21438986,0.14046969,H
4,0.20496912,0.23906168,0.1592994,0.19274962,L
5,0.31440046,0.19440044,0.3466703,0.17507362,L
6,0.13286784,0.1652351,0.1257528,0.06546901,L
7,0.32581156,0.19345033,0.12548943,0.14846466,L
8,0.48511794,0.35526007,0.36282143,0.2957295,L
9,0.28439292,0.29006138,0.2423921,0.17941901,H
10,0.35146382,0.29795548,0.31442207,0.18448038,H
11,0.3262834,0.2395206,0.2057214,0.19577168,H
12,0.2831794,0.24577141,0.20494425,0.21195783,H
13,0.30772492,0.27564868,0.20507932,0.24134758,L
14,0.20947523,0.28943753,0.23619415,0.119986914,H
15,0.34107423,0.26939872,0.29868543,0.20909193,H
16,0.2252571,0.15539019,0.21501635,0.19649589,L
17,0.19179744,0.18567161,0.25774688,0.16725677,L
18,0.33395496,0.25470713,0.2740158,0.15985255,H
19,0.2507967,0.22143932,0.16515222,0.17731564,L
20,0.3259461,0.26510268,0.20032662,0.116933465,H
21,0.32963115,0.21575272,0.30713862,0.22992498,L
22,0.3171984,0.20676473,0.2994904,0.13303412,H
23,0.22111662,0.305614,0.27505383,0.0979222,L
24,0.42816892,0.31185198,0.3116195,0.19498627,H
25,0.29851747,0.3521485,0.28303218,0.2754949,L
26,0.38105774,0.31502086,0.3302941,0.362417,H
27,0.22627261,0.16476043,0.13709114,0.14526144,L
28,0.31846663,0.27075022,0.28505114,0.21496333,L
29,0.27069563,0.25784224,0.23708951,0.18412451,H
30,0.28946313,0.1795305,0.39161438,0.1730566,H
31,0.25061554,0.17010255,0.12173347,0.18508413,H
32,0.3662297,0.2834035,0.18306886,0.12013074,L
33,0.22463195,0.29011425,0.18846312,0.19336757,L
34,0.16942911,0.08339505,0.1031956,0.15537964,H
35,0.19711787,0.25839633,0.26781985,0.1978536,H
36,0.18058641,0.13481447,0.09053061,0.20661233,L
37,0.27757302,0.31261578,0.28205347,0.20372054,L
38,0.38294035,0.31929576,0.30862695,0.1207433,L
39,0.4194567,0.3519633,0.33666003,0.10804695,H
