"","model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic","implementation","dep_var"
"1","sem_m",0,0,-331497.146134892,297.116481397744,1464.25465320858,15.6579258568444,662994.292269785,594.232962795488,"SentenceEmbedding_nSentences1","rt"
"2","baseline_m",-77.1261880978978,13.6359745110711,-331574.272322989,296.883713999376,1383.47075402497,15.0536930927366,663148.544645978,593.767427998753,"SentenceEmbedding_nSentences1","rt"
"3","sem_m",0,0,-331412.300841126,298.3337001633,1445.30212497773,15.7481267173266,662824.601682251,596.667400326601,"SentenceEmbedding","rt"
"4","baseline_m",-161.971481861016,19.9119255026859,-331574.272322989,296.883713999376,1383.47075402497,15.0536930927366,663148.544645978,593.767427998753,"SentenceEmbedding","rt"
"5","sem_m",0,0,-331538.597332049,297.077376424702,1428.55098403762,15.3404967399222,663077.194664099,594.154752849403,"WordEmbedding_nSentences1","rt"
"6","baseline_m",-35.6749909395748,5.96780099158462,-331574.272322989,296.883713999376,1383.47075402497,15.0536930927366,663148.544645978,593.767427998753,"WordEmbedding_nSentences1","rt"
"7","sem_m",0,0,-331565.266659302,296.957659541457,1406.31161899687,15.2506108884293,663130.533318604,593.915319082914,"WordEmbedding","rt"
"8","baseline_m",-9.00566368278824,3.6472433642064,-331574.272322989,296.883713999376,1383.47075402497,15.0536930927366,663148.544645978,593.767427998753,"WordEmbedding","rt"
"9","sem_m",0,0,-331533.71847329,297.192570538621,1449.98064113631,15.5543115588857,663067.436946579,594.385141077242,"WordEmbeddingContentWord_nSentences1","rt"
"10","baseline_m",-40.5538496980558,7.65720293366198,-331574.272322989,296.883713999376,1383.47075402497,15.0536930927366,663148.544645978,593.767427998753,"WordEmbeddingContentWord_nSentences1","rt"
"11","sem_m",0,0,-331546.044667031,297.114378011035,1428.08933648513,15.4282588691943,663092.089334063,594.22875602207,"WordEmbeddingContentWord","rt"
"12","baseline_m",-28.2276559599443,6.70456177427814,-331574.272322989,296.883713999376,1383.47075402497,15.0536930927366,663148.544645978,593.767427998753,"WordEmbeddingContentWord","rt"
"13","sem_m",0,0,-331430.240220276,298.137388726825,1462.70041113268,15.4965943224793,662860.480440551,596.274777453649,"WordEmbeddingContentWordWeighted","rt"
"14","baseline_m",-144.032102711923,18.3094987938494,-331574.272322989,296.883713999376,1383.47075402497,15.0536930927366,663148.544645978,593.767427998753,"WordEmbeddingContentWordWeighted","rt"
"15","sem_m",0,0,-331503.354081788,297.214189309591,1450.71681693216,15.4706935733938,663006.708163575,594.428378619182,"WordEmbeddingWeighted","rt"
"16","baseline_m",-70.9182411999329,10.2518157875966,-331574.272322989,296.883713999376,1383.47075402497,15.0536930927366,663148.544645978,593.767427998753,"WordEmbeddingWeighted","rt"
"17","sem_m",0,0,-331521.970800103,297.439280651877,1446.49924165084,15.5174885151468,663043.941600206,594.878561303753,"WordEmbeddingWindowed1","rt"
"18","baseline_m",-52.3015228867727,9.89364441061812,-331574.272322989,296.883713999376,1383.47075402497,15.0536930927366,663148.544645978,593.767427998753,"WordEmbeddingWindowed1","rt"
"19","sem_m",0,0,-331514.107521174,297.396668790481,1458.62235178954,15.6053345038876,663028.215042347,594.793337580961,"WordEmbeddingWindowed2","rt"
"20","baseline_m",-60.164801816066,11.3147333485413,-331574.272322989,296.883713999376,1383.47075402497,15.0536930927366,663148.544645978,593.767427998753,"WordEmbeddingWindowed2","rt"
"21","sem_m",0,0,-212619.718421316,435.166740924746,809.795282315397,13.9915865330568,425239.436842633,870.333481849492,"SentenceEmbedding_nSentences1","n400"
"22","baseline_m",-5.38147013193806,6.07861455226834,-212625.099891447,435.039201922396,794.688558909188,13.6855434421336,425250.199782894,870.078403844792,"SentenceEmbedding_nSentences1","n400"
"23","baseline_m",0,0,-212625.099891447,435.039201922396,794.688558909188,13.6855434421336,425250.199782894,870.078403844792,"SentenceEmbedding","n400"
"24","sem_m",-0.197580408459025,4.02791493850847,-212625.297471855,434.874256633601,813.681493251194,13.9732019446117,425250.59494371,869.748513267203,"SentenceEmbedding","n400"
"25","sem_m",0,0,-212623.184299815,433.854243011899,814.969607351772,14.151534006673,425246.368599629,867.708486023798,"WordEmbedding_nSentences1","n400"
"26","baseline_m",-1.91559163257715,4.39838911174174,-212625.099891447,435.039201922396,794.688558909188,13.6855434421336,425250.199782894,870.078403844792,"WordEmbedding_nSentences1","n400"
"27","sem_m",0,0,-212624.642633683,434.523546315993,805.48728909063,14.0279594501924,425249.285267366,869.047092631986,"WordEmbedding","n400"
"28","baseline_m",-0.457257763506117,3.07257246943159,-212625.099891447,435.039201922396,794.688558909188,13.6855434421336,425250.199782894,870.078403844792,"WordEmbedding","n400"
"29","sem_m",0,0,-212621.174369605,434.491671230618,822.499552231002,14.0852744123505,425242.34873921,868.983342461236,"WordEmbeddingContentWord_nSentences1","n400"
"30","baseline_m",-3.92552184331635,3.47486831810151,-212625.099891447,435.039201922396,794.688558909188,13.6855434421336,425250.199782894,870.078403844792,"WordEmbeddingContentWord_nSentences1","n400"
"31","baseline_m",0,0,-212625.099891447,435.039201922396,794.688558909188,13.6855434421336,425250.199782894,870.078403844792,"WordEmbeddingContentWord","n400"
"32","sem_m",-0.719651508665949,2.36073760218331,-212625.819542956,434.517782812052,806.098224189256,13.4649141292143,425251.639085912,869.035565624104,"WordEmbeddingContentWord","n400"
"33","sem_m",0,0,-212624.228984137,435.141050648139,823.283408688462,13.8646331140325,425248.457968275,870.282101296278,"WordEmbeddingWindowed1","n400"
"34","baseline_m",-0.870907310462645,2.65045191053447,-212625.099891447,435.039201922396,794.688558909188,13.6855434421336,425250.199782894,870.078403844792,"WordEmbeddingWindowed1","n400"
